conjecture_id,valid,exact_arithmetic,reason,subgroup,order,size,x,x_value,y,y_value,sign,rhs,violation,graph6
4668,True,True,valid counterexample,"connected,tree",1,0,vertex_cover_number,0,independent_domination_number,1,<=,-51407/7000,58407/7000,@
4712,True,True,valid counterexample,"connected,tree",1,0,independent_domination_number,1,diameter,0,>=,2,2,@
5381,True,True,valid counterexample,"connected,tree",2,1,proximity,1,remoteness,1,>=,309/209,100/209,>>graph6<<A_
5421,True,True,valid counterexample,"connected,tree",22,21,remoteness,21/65,domination_number,3,>=,14617972786349415363675073801/4838006229695806304752738500,103954097261996449416858301/4838006229695806304752738500,>>graph6<<UhCK?I?@C??__?@?O??G?_??C?C???G?A???@???
5952,True,True,valid counterexample,"claw_free,connected",12,21,diameter,3,independence_number,6,<=,5,1,K~~{A?_C?O?_
5968,True,True,valid counterexample,"claw_free,connected",12,13,diameter,7,proximity,11/48,>=,751/3225,191/51600,>>graph6<<KIUJ@?AC???D
5983,True,False,valid counterexample,"claw_free,connected",1,0,diameter,0,second_smallest_laplace_eigenvalue,0.0,>=,137013/438368,0.312552467333381999,@
5994,True,True,valid counterexample,"claw_free,connected",1,0,radius,0,domination_number,1,<=,-61407/7000,68407/7000,@
5996,True,True,valid counterexample,"claw_free,connected",14,21,radius,3,total_domination_number,7,<=,5399/1000,1601/1000,>>graph6<<MpE_GEc?G?}?K@??_
5998,True,True,valid counterexample,"claw_free,connected",1,0,radius,0,independence_number,1,<=,-19407/7000,26407/7000,@
6000,True,True,valid counterexample,"claw_free,connected",1,0,radius,0,independent_domination_number,1,<=,-61407/7000,68407/7000,@
6011,True,True,valid counterexample,"claw_free,connected",10,10,radius,4,remoteness,3/8,>=,9/23,3/184,>>graph6<<I{CGGC@?G
6013,True,True,valid counterexample,"claw_free,connected",10,10,radius,4,remoteness,3/8,>=,182267/483000,571/241500,>>graph6<<I{CGGC@?G
6020,True,False,valid counterexample,"claw_free,connected",1,0,radius,0,second_smallest_laplace_eigenvalue,0.0,>=,260703/778744,0.334773686859866657,@
6124,True,True,valid counterexample,"claw_free,connected",9,14,density,7/18,remoteness,4/5,<=,232/295,4/295,Hj^EGCG
6179,True,True,valid counterexample,"claw_free,connected",16,21,maximum_degree,5,average_degree,21/8,>=,8/3,1/24,O~}?GC@?G?_@?@??_?G?@
6180,True,True,valid counterexample,"claw_free,connected",16,21,maximum_degree,5,average_degree,21/8,>=,8/3,1/24,O~}?GC@?G?_@?@??_?G?@
6181,True,True,valid counterexample,"claw_free,connected",16,21,maximum_degree,5,average_degree,21/8,>=,197/72,1/9,O~}?GC@?G?_@?@??_?G?@
6182,True,True,valid counterexample,"claw_free,connected",16,21,maximum_degree,5,average_degree,21/8,>=,686338/259875,33329/2079000,O~}?GC@?G?_@?@??_?G?@
6267,True,True,valid counterexample,"claw_free,connected",16,21,average_degree,21/8,maximum_degree,5,<=,69/14,1/14,O~}?GC@?G?_@?@??_?G?@
6268,True,True,valid counterexample,"claw_free,connected",16,21,average_degree,21/8,maximum_degree,5,<=,157/32,3/32,O~}?GC@?G?_@?@??_?G?@
6269,True,True,valid counterexample,"claw_free,connected",16,21,average_degree,21/8,maximum_degree,5,<=,177/37,8/37,O~}?GC@?G?_@?@??_?G?@
6270,True,True,valid counterexample,"claw_free,connected",16,90,average_degree,45/4,maximum_degree,14,<=,1252079642277706285926041/92874301660252628426848,48160580965830512049831/92874301660252628426848,O~~~z|~~~|~mznoB}@wBN
6272,True,True,valid counterexample,"claw_free,connected",1,0,average_degree,0,clique_number,1,<=,-2/5,7/5,@
6278,True,True,valid counterexample,"claw_free,connected",15,29,average_degree,58/15,clique_number,7,<=,10072494347253872706368/1451889159921378699375,90729772195778189257/1451889159921378699375,N~~~w?O?O?_C?O??o?G
6351,True,True,valid counterexample,"claw_free,connected",1,0,clique_number,1,maximum_degree,0,<=,-299731/231000,299731/231000,@
6352,True,True,valid counterexample,"claw_free,connected",1,0,clique_number,1,average_degree,0,>=,7/9,7/9,@
6466,True,False,valid counterexample,"claw_free,connected",12,47,triangle_number,81,largest_eigenvalue,8.052207201060215,<=,1784174003557/221603027175,0.000990454151622143590,Kz~~zjhx{Bvp
6472,True,False,valid counterexample,"claw_free,connected",12,47,triangle_number,81,largest_eigenvalue,8.052207201060215,<=,1513589455432/188363243311,0.0167251779939361357,Kz~~zjhx{Bvp
6574,True,True,valid counterexample,"claw_free,connected",13,18,total_domination_number,4,independence_number,6,<=,5,1,LySOgGD?OA_A?D
6582,True,True,valid counterexample,"claw_free,connected",15,16,total_domination_number,9,matching_number,7,>=,8,1,NpKGGC@??@_K?@C???G
6617,True,False,valid counterexample,"claw_free,connected",21,63,total_domination_number,4,second_smallest_laplace_eigenvalue,0.12984605712131395,>=,57910096864/380384532405,0.0223948778553544003,>>graph6<<T^~~z???WB_N?^?^_C?????K??w?@w?@{??~
6903,True,True,valid counterexample,"claw_free,connected",15,16,matching_number,7,total_domination_number,9,<=,8,1,NpKGGC@??@_K?@C???G
7205,True,True,valid counterexample,"claw_free,connected",12,31,first_zagreb_index,322,second_zagreb_index,836,>=,11741/13,873/13,K~~{?CB?wF_^
7206,True,True,valid counterexample,"claw_free,connected",14,43,first_zagreb_index,530,second_zagreb_index,1633,>=,5795/3,896/3,M~~~{?@?WB_N?^?^_
7212,True,True,valid counterexample,"claw_free,connected",12,31,first_zagreb_index,322,second_zagreb_index,836,>=,2597/3,89/3,K~~{?CB?wF_^
7213,True,True,valid counterexample,"claw_free,connected",12,31,first_zagreb_index,322,second_zagreb_index,836,>=,869,33,K~~{?CB?wF_^
7565,True,False,valid counterexample,"claw_free,connected",12,47,largest_eigenvalue,8.052207201060215,triangle_number,81,>=,81.6450178286873673,0.645017828687367294,Kz~~zjhx{Bvp
7566,True,False,valid counterexample,"claw_free,connected",12,47,largest_eigenvalue,8.052207201060215,triangle_number,81,>=,81.0398079505845392,0.0398079505845392203,Kz~~zjhx{Bvp
7694,True,False,valid counterexample,"claw_free,connected",9,9,largest_distance_eigenvalue,25.98273762138877,proximity,8/35,>=,0.230497707399368462,0.00192627882793989017,>>graph6<<H{CGGC@
7695,True,False,valid counterexample,"claw_free,connected",10,10,largest_distance_eigenvalue,32.50980942989507,proximity,9/44,>=,0.205661007920305612,0.00111555337485106677,>>graph6<<I{CGGC@?G
7703,True,False,valid counterexample,"claw_free,connected",1,0,largest_distance_eigenvalue,0.0,second_smallest_laplace_eigenvalue,0.0,>=,0.216138014930006289,0.216138014930006289,@
7711,True,False,valid counterexample,"claw_free,connected",1,0,second_smallest_laplace_eigenvalue,0.0,diameter,0,>=,12.3872471129182597,12.3872471129182597,@
7712,True,False,valid counterexample,"claw_free,connected",1,0,second_smallest_laplace_eigenvalue,0.0,diameter,0,>=,7.97437398656055820,7.97437398656055820,@
7713,True,False,valid counterexample,"claw_free,connected",1,0,second_smallest_laplace_eigenvalue,0.0,diameter,0,>=,8.58109374777418482,8.58109374777418482,@
7718,True,False,valid counterexample,"claw_free,connected",1,0,second_smallest_laplace_eigenvalue,0.0,radius,0,>=,5.32436564187437542,5.32436564187437542,@
7719,True,False,valid counterexample,"claw_free,connected",1,0,second_smallest_laplace_eigenvalue,0.0,radius,0,>=,5.97608538268131651,5.97608538268131651,@
7732,True,False,valid counterexample,"claw_free,connected",24,133,second_smallest_laplace_eigenvalue,0.14434539959895654,maximum_degree,12,<=,11.9542664999310969,0.0457335000689030878,W~~~~~~~~~~~_???_?W?F??{?Bw?Fw?F{?B~??~w?F~_?^~
7734,True,False,valid counterexample,"claw_free,connected",24,133,second_smallest_laplace_eigenvalue,0.14434539959895654,average_degree,133/12,<=,10.3339589909028391,0.749374342430494206,W~~~~~~~~~~~_???_?W?F??{?Bw?Fw?F{?B~??~w?F~_?^~
7743,True,False,valid counterexample,"claw_free,connected",1,0,second_smallest_laplace_eigenvalue,0.0,domination_number,1,>=,4.46241570430392790,3.46241570430392790,@
7753,True,False,valid counterexample,"claw_free,connected",21,64,second_smallest_laplace_eigenvalue,0.1465871326360776,total_domination_number,4,>=,4.07734501279385977,0.0773450127938597733,>>graph6<<T^~~y?@?WB_NP^?^_C?????K??w?@W?@{??~
7773,True,False,valid counterexample,"claw_free,connected",1,0,second_smallest_laplace_eigenvalue,0.0,independent_domination_number,1,>=,4.46241570430392790,3.46241570430392790,@
7811,True,False,valid counterexample,"claw_free,connected",26,157,second_smallest_laplace_eigenvalue,0.13454006867188262,largest_eigenvalue,12.082762530298222,<=,11.3310898447948300,0.751672685503391995,Y~~~~~~~~~~~~~_???G?B??[?@w?Bw?B{?@~??^w?B~_?N~??^~??^~_
7813,True,False,valid counterexample,"claw_free,connected",1,0,second_smallest_laplace_eigenvalue,0.0,largest_distance_eigenvalue,0.0,>=,62.7715380400412596,62.7715380400412596,@
